"['-2', '-3', '-4', '-5', '-10', '-5', '-4', '-3', '-2', 0, '-5', 0, 0, 0, 0, 0, '-5', 0, '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, '1', '1', '1', '1', '1', '1', '1', '1', '1', 0, '5', 0, 0, 0, 0, 0, '5', 0, '2', '3', '4', '5', '10', '5', '4', '3', '2', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']"
"['-2', '-3', '-4', '-5', '-10', '-5', '-4', '-3', '-2', 0, '-5', 0, 0, 0, 0, 0, '-5', 0, '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, '1', 0, 0, 0, 0, 0, 0, '1', '1', 0, '1', '1', '1', '1', '1', '1', 0, '5', 0, 0, 0, 0, 0, '5', 0, '2', '3', '4', '5', '10', '5', '4', '3', '2', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']"
"['-2', '-3', '-4', '-5', '-10', '-5', '-4', '-3', '-2', 0, '-5', 0, 0, 0, 0, 0, '-5', 0, '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, '1', '1', '1', '1', '1', '1', '1', '1', '1', 0, '5', 0, 0, 0, 0, 0, '5', 0, '2', '3', '4', '5', '10', '5', '4', '3', '2', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']"
"['-2', '-3', '-4', '-5', '-10', '-5', '-4', '-3', '-2', 0, '-5', 0, 0, 0, 0, 0, '-5', 0, '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, '1', 0, 0, 0, 0, 0, 0, '1', '1', 0, '1', '1', '1', '1', '1', '1', 0, '5', 0, 0, 0, 0, 0, '5', 0, '2', '3', '4', '5', '10', '5', '4', '3', '2', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']"
"['-2', '-3', '-4', '-5', '-10', '-5', '-4', '-3', '-2', 0, '-5', 0, 0, 0, 0, 0, '-5', 0, '-1', '-1', '-1', '-1', '-1', '-1', 0, '-1', '-1', 0, 0, 0, 0, 0, 0, '-1', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, '1', 0, 0, 0, 0, 0, 0, '1', '1', 0, '1', '1', '1', '1', '1', '1', 0, '5', 0, 0, 0, 0, 0, '5', 0, '2', '3', '4', '5', '10', '5', '4', '3', '2', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']"
"['-2', '-3', '-4', '-5', '-10', '-5', '-4', '-3', '-2', 0, '-5', 0, 0, 0, 0, 0, '-5', 0, '-1', '-1', '-1', '-1', '-1', '-1', 0, '-1', '-1', 0, 0, 0, 0, 0, 0, '-1', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, '1', 0, 0, 0, 0, 0, '1', '1', '1', 0, '1', '1', '1', '1', '1', 0, 0, '5', 0, 0, 0, 0, 0, '5', 0, '2', '3', '4', '5', '10', '5', '4', '3', '2', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']"
"['-2', '-3', '-4', '-5', '-10', '-5', '-4', '-3', '-2', 0, '-5', 0, 0, 0, 0, 0, '-5', 0, '-1', '-1', '-1', '-1', '-1', '-1', 0, '-1', 0, 0, 0, 0, 0, 0, 0, '-1', 0, '-1', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, '1', 0, 0, 0, 0, 0, '1', '1', '1', 0, '1', '1', '1', '1', '1', 0, 0, '5', 0, 0, 0, 0, 0, '5', 0, '2', '3', '4', '5', '10', '5', '4', '3', '2', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']"
"['-2', '-3', '-4', '-5', '-10', '-5', '-4', '-3', '-2', 0, '-5', 0, 0, 0, 0, 0, '-5', 0, '-1', '-1', '-1', '-1', '-1', '-1', 0, '-1', 0, 0, 0, 0, 0, 0, 0, '-1', 0, '-1', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, '1', '1', 0, 0, 0, 0, '1', '1', '1', 0, 0, '1', '1', '1', '1', 0, 0, '5', 0, 0, 0, 0, 0, '5', 0, '2', '3', '4', '5', '10', '5', '4', '3', '2', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']"
"['-2', '-3', '-4', '-5', '-10', '-5', '-4', '-3', '-2', 0, 0, 0, 0, 0, 0, '-5', '-5', 0, '-1', '-1', '-1', '-1', '-1', '-1', 0, '-1', 0, 0, 0, 0, 0, 0, 0, '-1', 0, '-1', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, '1', '1', 0, 0, 0, 0, '1', '1', '1', 0, 0, '1', '1', '1', '1', 0, 0, '5', 0, 0, 0, 0, 0, '5', 0, '2', '3', '4', '5', '10', '5', '4', '3', '2', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']"
"['-2', '-3', '-4', '-5', '-10', '-5', '-4', '-3', '-2', 0, 0, 0, 0, 0, 0, '-5', '-5', 0, '-1', '-1', '-1', '-1', '-1', '-1', 0, '-1', 0, 0, 0, 0, 0, 0, 0, '-1', 0, '-1', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, '1', '1', 0, 0, 0, 0, '1', '1', '1', 0, 0, '1', '1', '1', '1', 0, 0, '5', 0, 0, 0, '4', 0, '5', 0, '2', '3', '4', '5', '10', '5', 0, '3', '2', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']"
"['-2', '-3', '-4', '-5', 0, '-5', '-4', '-3', '-2', 0, 0, 0, '-10', 0, 0, '-5', '-5', 0, '-1', '-1', '-1', '-1', '-1', '-1', 0, '-1', 0, 0, 0, 0, 0, 0, 0, '-1', 0, '-1', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, '1', '1', 0, 0, 0, 0, '1', '1', '1', 0, 0, '1', '1', '1', '1', 0, 0, '5', 0, 0, 0, '4', 0, '5', 0, '2', '3', '4', '5', '10', '5', 0, '3', '2', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']"
"['-2', '-3', '-4', '-5', 0, '-5', '-4', '-3', '-2', 0, 0, 0, '-10', 0, 0, '-5', '-5', 0, '-1', '-1', '-1', '-1', '-1', '-1', 0, '-1', 0, 0, 0, 0, 0, 0, 0, '-1', 0, '-1', 0, 0, 0, 0, 0, 0, 0, 0, 0, '1', 0, '1', '1', 0, 0, 0, 0, '1', 0, '1', 0, 0, '1', '1', '1', '1', 0, 0, '5', 0, 0, 0, '4', 0, '5', 0, '2', '3', '4', '5', '10', '5', 0, '3', '2', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']"
"['-2', '-3', '-4', '-5', 0, '-5', '-4', '-3', '-2', 0, 0, 0, '-10', 0, 0, '-5', '-5', 0, 0, '-1', '-1', '-1', '-1', '-1', 0, '-1', 0, '-1', 0, 0, 0, 0, 0, '-1', 0, '-1', 0, 0, 0, 0, 0, 0, 0, 0, 0, '1', 0, '1', '1', 0, 0, 0, 0, '1', 0, '1', 0, 0, '1', '1', '1', '1', 0, 0, '5', 0, 0, 0, '4', 0, '5', 0, '2', '3', '4', '5', '10', '5', 0, '3', '2', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']"
"['-2', '-3', '-4', '-5', 0, '-5', '-4', '-3', '-2', 0, 0, 0, '-10', 0, 0, '-5', '-5', 0, 0, '-1', '-1', '-1', '-1', '-1', 0, '-1', 0, '-1', 0, 0, 0, 0, 0, '-1', 0, '-1', 0, 0, 0, 0, 0, 0, 0, 0, 0, '1', 0, '1', '1', 0, 0, 0, 0, '1', 0, '1', 0, 0, '1', '1', '1', '1', 0, 0, '5', 0, '10', 0, '4', 0, '5', 0, '2', '3', '4', '5', 0, '5', 0, '3', '2', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']"
"['-2', '-3', '-4', '-5', 0, '-5', '-4', '-3', '-2', 0, 0, '-10', 0, 0, 0, '-5', '-5', 0, 0, '-1', '-1', '-1', '-1', '-1', 0, '-1', 0, '-1', 0, 0, 0, 0, 0, '-1', 0, '-1', 0, 0, 0, 0, 0, 0, 0, 0, 0, '1', 0, '1', '1', 0, 0, 0, 0, '1', 0, '1', 0, 0, '1', '1', '1', '1', 0, 0, '5', 0, '10', 0, '4', 0, '5', 0, '2', '3', '4', '5', 0, '5', 0, '3', '2', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']"
"['-2', '-3', '-4', '-5', 0, '-5', '-4', '-3', '-2', 0, 0, '-10', 0, 0, 0, '-5', '-5', 0, 0, '-1', '-1', '-1', '-1', '-1', 0, '-1', 0, '-1', 0, 0, 0, 0, 0, '-1', 0, '-1', 0, 0, 0, 0, 0, 0, 0, 0, 0, '1', 0, '1', '1', 0, 0, 0, 0, '1', 0, '1', 0, 0, '1', '1', '1', '1', 0, 0, '5', '4', '10', 0, '4', 0, '5', 0, '2', '3', 0, '5', 0, '5', 0, '3', '2', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']"
"['-2', '-3', '-4', '-5', 0, '-5', '-4', '-3', '-2', 0, '-10', 0, 0, 0, 0, '-5', '-5', 0, 0, '-1', '-1', '-1', '-1', '-1', 0, '-1', 0, '-1', 0, 0, 0, 0, 0, '-1', 0, '-1', 0, 0, 0, 0, 0, 0, 0, 0, 0, '1', 0, '1', '1', 0, 0, 0, 0, '1', 0, '1', 0, 0, '1', '1', '1', '1', 0, 0, '5', '4', '10', 0, '4', 0, '5', 0, '2', '3', 0, '5', 0, '5', 0, '3', '2', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']"
"['-2', '-3', '-4', '-5', 0, '-5', '-4', '-3', '-2', 0, '-10', 0, 0, 0, 0, '-5', '-5', 0, 0, '-1', '-1', '-1', '-1', '-1', 0, '-1', 0, '-1', 0, 0, 0, 0, 0, '-1', 0, '-1', 0, 0, 0, 0, 0, 0, 0, 0, 0, '1', 0, '1', '1', 0, 0, 0, 0, '1', 0, '1', 0, 0, '1', '1', '1', '1', 0, 0, '5', '4', 0, 0, '4', 0, '5', 0, '2', '3', '10', '5', 0, '5', 0, '3', '2', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']"
"['-2', '-3', 0, '-5', 0, '-5', '-4', '-3', '-2', 0, '-10', '-4', 0, 0, 0, '-5', '-5', 0, 0, '-1', '-1', '-1', '-1', '-1', 0, '-1', 0, '-1', 0, 0, 0, 0, 0, '-1', 0, '-1', 0, 0, 0, 0, 0, 0, 0, 0, 0, '1', 0, '1', '1', 0, 0, 0, 0, '1', 0, '1', 0, 0, '1', '1', '1', '1', 0, 0, '5', '4', 0, 0, '4', 0, '5', 0, '2', '3', '10', '5', 0, '5', 0, '3', '2', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']"
"['-2', '-3', 0, '-5', 0, '-5', '-4', '-3', '-2', 0, '-10', '-4', 0, 0, 0, '-5', '-5', 0, 0, '-1', '-1', '-1', '-1', '-1', 0, '-1', 0, '-1', 0, 0, 0, 0, 0, '-1', 0, '-1', 0, 0, 0, 0, 0, 0, 0, 0, 0, '1', 0, '1', '1', 0, 0, 0, '1', '1', 0, '1', 0, 0, '1', '1', '1', 0, 0, 0, '5', '4', 0, 0, '4', 0, '5', 0, '2', '3', '10', '5', 0, '5', 0, '3', '2', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']"
"['-2', '-3', 0, '-5', 0, '-5', '-4', '-3', '-2', 0, '-10', '-4', 0, 0, 0, '-5', '-5', 0, 0, '-1', '-1', '-1', '-1', '-1', 0, '-1', 0, '-1', 0, 0, 0, 0, 0, 0, 0, '-1', 0, 0, 0, 0, 0, 0, '-1', 0, 0, '1', 0, '1', '1', 0, 0, 0, '1', '1', 0, '1', 0, 0, '1', '1', '1', 0, 0, 0, '5', '4', 0, 0, '4', 0, '5', 0, '2', '3', '10', '5', 0, '5', 0, '3', '2', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']"
"['-2', '-3', 0, '-5', 0, '-5', '-4', '-3', '-2', 0, '-10', '-4', 0, 0, 0, '-5', '-5', 0, 0, '-1', '-1', '-1', '-1', '-1', 0, '-1', 0, '-1', 0, 0, 0, 0, 0, 0, 0, '-1', 0, 0, 0, 0, 0, 0, '-1', 0, 0, '1', 0, '1', '1', 0, 0, 0, '1', '1', 0, '1', 0, 0, '1', '1', '1', 0, 0, 0, '5', '4', 0, '5', '4', 0, '5', 0, '2', '3', '10', '5', 0, 0, 0, '3', '2', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']"
"['-2', '-3', 0, '-5', 0, '-5', 0, '-3', '-2', 0, '-10', '-4', 0, 0, '-4', '-5', '-5', 0, 0, '-1', '-1', '-1', '-1', '-1', 0, '-1', 0, '-1', 0, 0, 0, 0, 0, 0, 0, '-1', 0, 0, 0, 0, 0, 0, '-1', 0, 0, '1', 0, '1', '1', 0, 0, 0, '1', '1', 0, '1', 0, 0, '1', '1', '1', 0, 0, 0, '5', '4', 0, '5', '4', 0, '5', 0, '2', '3', '10', '5', 0, 0, 0, '3', '2', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']"
"['-2', '-3', 0, '-5', 0, '-5', 0, '-3', '-2', 0, '-10', '-4', 0, 0, '-4', '-5', '-5', 0, 0, '-1', '-1', '-1', '-1', '-1', 0, '-1', 0, '-1', 0, 0, 0, 0, 0, 0, 0, '-1', 0, 0, 0, 0, 0, 0, '-1', 0, 0, '1', 0, '1', '1', 0, 0, 0, '1', '1', 0, '1', '5', 0, '1', '1', '1', 0, 0, 0, 0, '4', 0, '5', '4', 0, '5', 0, '2', '3', '10', '5', 0, 0, 0, '3', '2', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']"
"['-2', '-3', 0, '-5', 0, '-5', 0, '-3', '-2', 0, '-10', '-4', 0, 0, '-4', '-5', '-5', 0, 0, '-1', '-1', 0, '-1', '-1', 0, '-1', 0, '-1', 0, 0, '-1', 0, 0, 0, 0, '-1', 0, 0, 0, 0, 0, 0, '-1', 0, 0, '1', 0, '1', '1', 0, 0, 0, '1', '1', 0, '1', '5', 0, '1', '1', '1', 0, 0, 0, 0, '4', 0, '5', '4', 0, '5', 0, '2', '3', '10', '5', 0, 0, 0, '3', '2', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']"
"['-2', '-3', 0, '-5', 0, '-5', 0, '-3', '-2', 0, '-10', '-4', 0, 0, '-4', '-5', '-5', 0, 0, '-1', '-1', 0, '-1', '-1', 0, '-1', 0, '-1', 0, 0, '-1', 0, 0, 0, 0, '-1', 0, 0, 0, 0, 0, 0, '-1', '1', 0, '1', 0, '1', '1', 0, 0, 0, 0, '1', 0, '1', '5', 0, '1', '1', '1', 0, 0, 0, 0, '4', 0, '5', '4', 0, '5', 0, '2', '3', '10', '5', 0, 0, 0, '3', '2', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']"
"['-2', '-3', 0, '-5', 0, '-5', 0, '-3', '-2', 0, '-10', '-4', 0, 0, '-4', 0, '-5', 0, 0, '-1', '-1', 0, '-1', '-1', 0, '-1', 0, '-1', 0, 0, '-1', 0, 0, '-5', 0, '-1', 0, 0, 0, 0, 0, 0, '-1', '1', 0, '1', 0, '1', '1', 0, 0, 0, 0, '1', 0, '1', '5', 0, '1', '1', '1', 0, 0, 0, 0, '4', 0, '5', '4', 0, '5', 0, '2', '3', '10', '5', 0, 0, 0, '3', '2', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']"
"['-2', '-3', 0, '-5', 0, '-5', 0, '-3', '-2', 0, '-10', '-4', 0, 0, '-4', 0, '-5', 0, 0, '-1', '-1', 0, '-1', '-1', 0, '-1', 0, '-1', 0, 0, '-1', 0, 0, '-5', 0, '-1', 0, 0, 0, 0, 0, 0, '-1', '1', 0, '1', 0, '1', '1', '1', 0, 0, 0, '1', 0, '1', '5', 0, 0, '1', '1', 0, 0, 0, 0, '4', 0, '5', '4', 0, '5', 0, '2', '3', '10', '5', 0, 0, 0, '3', '2', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']"
"['-2', '-3', 0, '-5', 0, '-5', 0, 0, '-2', 0, '-10', '-4', 0, 0, '-4', 0, '-5', 0, 0, '-1', '-1', 0, '-1', '-1', '-3', '-1', 0, '-1', 0, 0, '-1', 0, 0, '-5', 0, '-1', 0, 0, 0, 0, 0, 0, '-1', '1', 0, '1', 0, '1', '1', '1', 0, 0, 0, '1', 0, '1', '5', 0, 0, '1', '1', 0, 0, 0, 0, '4', 0, '5', '4', 0, '5', 0, '2', '3', '10', '5', 0, 0, 0, '3', '2', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']"
"['-2', '-3', 0, '-5', 0, '-5', 0, 0, '-2', 0, '-10', '-4', 0, 0, '-4', 0, '-5', 0, 0, '-1', '-1', 0, '-1', '-1', '-3', '-1', 0, '-1', 0, 0, '-1', 0, 0, '-5', 0, '-1', 0, 0, 0, 0, 0, 0, '-1', '1', 0, '1', 0, '1', '1', '1', 0, 0, 0, '1', 0, '1', '5', 0, 0, '1', '1', 0, 0, 0, '10', '4', 0, '5', '4', 0, '5', 0, '2', '3', 0, '5', 0, 0, 0, '3', '2', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']"
"['-2', '-3', 0, '-5', 0, 0, 0, 0, '-2', 0, '-10', '-4', 0, '-5', '-4', 0, '-5', 0, 0, '-1', '-1', 0, '-1', '-1', '-3', '-1', 0, '-1', 0, 0, '-1', 0, 0, '-5', 0, '-1', 0, 0, 0, 0, 0, 0, '-1', '1', 0, '1', 0, '1', '1', '1', 0, 0, 0, '1', 0, '1', '5', 0, 0, '1', '1', 0, 0, 0, '10', '4', 0, '5', '4', 0, '5', 0, '2', '3', 0, '5', 0, 0, 0, '3', '2', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']"
"['-2', '-3', 0, '-5', 0, 0, 0, 0, '-2', 0, '-10', '-4', 0, '-5', '-4', 0, '-5', 0, 0, '-1', '-1', 0, '-1', '-1', '-3', '-1', 0, '-1', 0, 0, '-1', 0, 0, '-5', 0, '-1', 0, 0, 0, 0, 0, 0, '-1', '1', 0, '1', 0, '1', '1', '1', 0, 0, 0, '1', 0, '1', '5', '5', 0, '1', '1', 0, 0, 0, '10', '4', 0, 0, '4', 0, '5', 0, '2', '3', 0, '5', 0, 0, 0, '3', '2', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']"
"['-2', '-3', 0, '-5', 0, 0, 0, 0, '-2', 0, '-10', '-4', 0, '-5', '-4', 0, '-5', 0, 0, '-1', '-1', 0, 0, '-1', '-3', '-1', 0, '-1', 0, 0, '-1', '-1', 0, '-5', 0, '-1', 0, 0, 0, 0, 0, 0, '-1', '1', 0, '1', 0, '1', '1', '1', 0, 0, 0, '1', 0, '1', '5', '5', 0, '1', '1', 0, 0, 0, '10', '4', 0, 0, '4', 0, '5', 0, '2', '3', 0, '5', 0, 0, 0, '3', '2', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']"
